Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.no.helseapi.ig.json	2674	-	0	0	0	0	0	0	4	52	0	0	0	0	0	0	0	0	0	0	84	102	0	0	0	2	0	2
fsh-generated/resources/CodeSystem-no-helseapi-documentreference-category.json	644	12	1	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	11	1494	0	0	0	0	0	0
input/profiles/no-helseapi-Address.structuredefinition-profile.xml	33408	119	0	0	0	0	0	59	0	73	0	0	0	0	0	0	0	1	0	0	194	976	0	0	0	4	0	1
input/profiles/no-helseapi-DocumentReference.structuredefinition-profile.xml	130301	296	0	0	0	0	0	122	0	175	0	0	0	0	0	0	0	1	0	0	359	979	0	0	0	9	0	2
input/profiles/no-helseapi-Patient.structuredefinition-profile.xml	236009	410	0	0	0	0	0	385	0	307	0	0	0	0	0	0	0	2	0	0	632	1303	0	0	0	15	0	5
input/profiles/no-helseapi-Practitioner.structuredefinition-profile.xml	205287	349	0	0	0	0	0	317	0	260	0	0	1	0	0	0	0	1	0	0	476	1184	0	0	0	10	0	1
input/resources/no-helseapi-documentreference-category.valueset.xml	688	12	0	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	7	3527	0	0	0	1	0	0
input/resources/no-helseapi-documentreference-type.valueset.xml	1563	12	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	13	83	0	0	0	0	0	0
